x	y	tooltip	PANEL
-0.210061105107399	1	bio15 fold=1norm.weight=-0.210061105107399	1
-0.651413703940005	1	bio15 fold=2norm.weight=-0.651413703940005	1
-0.432024225413082	1	bio15 fold=3norm.weight=-0.432024225413082	1
-0.306661159932425	1	bio15 fold=4norm.weight=-0.306661159932425	1
-0.424236658990407	1	bio15 fold=5norm.weight=-0.424236658990407	1
-0.380494066801112	1	bio15 fold=6norm.weight=-0.380494066801112	1
-0.42630790242954	1	bio15 fold=7norm.weight=-0.42630790242954	1
-0.509907940795535	1	bio15 fold=8norm.weight=-0.509907940795535	1
-0.289572290727437	1	bio15 fold=9norm.weight=-0.289572290727437	1
-0.527488205476645	1	bio15 fold=10norm.weight=-0.527488205476645	1
-0.571834095637082	2	ph fold=1norm.weight=-0.571834095637082	1
-0.482219727952524	2	ph fold=2norm.weight=-0.482219727952524	1
-0.566050627870624	2	ph fold=3norm.weight=-0.566050627870624	1
-0.565817273760982	2	ph fold=4norm.weight=-0.565817273760982	1
-0.484831014621354	2	ph fold=5norm.weight=-0.484831014621354	1
-0.574528685008758	2	ph fold=6norm.weight=-0.574528685008758	1
-0.559348939405747	2	ph fold=7norm.weight=-0.559348939405747	1
-0.59610724819867	2	ph fold=8norm.weight=-0.59610724819867	1
-0.54714901781384	2	ph fold=9norm.weight=-0.54714901781384	1
-0.554120012735119	2	ph fold=10norm.weight=-0.554120012735119	1
-0.305429788988621	3	bio9 fold=1norm.weight=-0.305429788988621	1
-0.70226793835385	3	bio9 fold=2norm.weight=-0.70226793835385	1
-0.607047412804225	3	bio9 fold=3norm.weight=-0.607047412804225	1
-0.526319022916969	3	bio9 fold=4norm.weight=-0.526319022916969	1
-0.496309111213432	3	bio9 fold=5norm.weight=-0.496309111213432	1
-0.533475195440462	3	bio9 fold=6norm.weight=-0.533475195440462	1
-0.618597385521839	3	bio9 fold=7norm.weight=-0.618597385521839	1
-0.704447206427877	3	bio9 fold=8norm.weight=-0.704447206427877	1
-0.460144746652569	3	bio9 fold=9norm.weight=-0.460144746652569	1
-0.706753504736076	3	bio9 fold=10norm.weight=-0.706753504736075	1
-0.612425590096799	4	bio7 fold=1norm.weight=-0.612425590096799	1
-0.93555393740667	4	bio7 fold=2norm.weight=-0.93555393740667	1
-0.727191975075592	4	bio7 fold=3norm.weight=-0.727191975075592	1
-0.579668214804819	4	bio7 fold=4norm.weight=-0.579668214804819	1
-0.766203591745339	4	bio7 fold=5norm.weight=-0.766203591745339	1
-0.669481152867408	4	bio7 fold=6norm.weight=-0.669481152867408	1
-0.835293986819068	4	bio7 fold=7norm.weight=-0.835293986819068	1
-0.587009456667362	4	bio7 fold=8norm.weight=-0.587009456667362	1
-0.505930762442126	4	bio7 fold=9norm.weight=-0.505930762442126	1
-0.868594997460332	4	bio7 fold=10norm.weight=-0.868594997460332	1
0.840257923780931	5	bdens fold=1norm.weight=0.840257923780931	1
0.783306515095351	5	bdens fold=2norm.weight=0.783306515095351	1
0.737705229398547	5	bdens fold=3norm.weight=0.737705229398547	1
0.779140974199923	5	bdens fold=4norm.weight=0.779140974199923	1
0.769126194876862	5	bdens fold=5norm.weight=0.769126194876862	1
0.75655303385284	5	bdens fold=6norm.weight=0.75655303385284	1
0.81046415802256	5	bdens fold=7norm.weight=0.81046415802256	1
0.768986597054903	5	bdens fold=8norm.weight=0.768986597054903	1
0.774602511564194	5	bdens fold=9norm.weight=0.774602511564194	1
0.796267054515929	5	bdens fold=10norm.weight=0.796267054515928	1
-0.801438318664178	6	bio13 fold=1norm.weight=-0.801438318664178	1
-1.02223105435729	6	bio13 fold=2norm.weight=-1.02223105435729	1
-0.903335484203881	6	bio13 fold=3norm.weight=-0.903335484203881	1
-0.81939200086906	6	bio13 fold=4norm.weight=-0.81939200086906	1
-0.879743670046491	6	bio13 fold=5norm.weight=-0.87974367004649	1
-0.906987824297629	6	bio13 fold=6norm.weight=-0.906987824297629	1
-0.913507134788682	6	bio13 fold=7norm.weight=-0.913507134788682	1
-0.934531707093857	6	bio13 fold=8norm.weight=-0.934531707093857	1
-0.829757573690172	6	bio13 fold=9norm.weight=-0.829757573690172	1
-0.951021804682805	6	bio13 fold=10norm.weight=-0.951021804682806	1
-1.77392815914322	7	twi fold=1norm.weight=-1.77392815914322	1
-2.12239905985623	7	twi fold=2norm.weight=-2.12239905985623	1
-2.11138767666074	7	twi fold=3norm.weight=-2.11138767666074	1
-2.10682055987274	7	twi fold=4norm.weight=-2.10682055987274	1
-2.10695414098576	7	twi fold=5norm.weight=-2.10695414098576	1
-2.11929101694719	7	twi fold=6norm.weight=-2.11929101694719	1
-2.09966981148578	7	twi fold=7norm.weight=-2.09966981148578	1
-2.13264018582944	7	twi fold=8norm.weight=-2.13264018582944	1
-2.16131037028123	7	twi fold=9norm.weight=-2.16131037028123	1
-2.21766538393079	7	twi fold=10norm.weight=-2.21766538393079	1
0	1	silt fold=1norm.weight=0	2
-0.221749047465883	1	silt fold=2norm.weight=-0.221749047465883	2
-0.126076744924341	1	silt fold=3norm.weight=-0.126076744924341	2
-0.135899813175332	1	silt fold=4norm.weight=-0.135899813175332	2
-0.18138155807022	1	silt fold=5norm.weight=-0.18138155807022	2
-0.116871448338978	1	silt fold=6norm.weight=-0.116871448338978	2
-0.0839635159666248	1	silt fold=7norm.weight=-0.0839635159666248	2
-0.132241548926193	1	silt fold=8norm.weight=-0.132241548926193	2
-0.104556100912412	1	silt fold=9norm.weight=-0.104556100912412	2
-0.174777769653423	1	silt fold=10norm.weight=-0.174777769653422	2
0	2	bio5 fold=1norm.weight=0	2
-0.0977839618533102	2	bio5 fold=2norm.weight=-0.0977839618533102	2
-0.123302698861283	2	bio5 fold=3norm.weight=-0.123302698861283	2
-0.136632468856278	2	bio5 fold=4norm.weight=-0.136632468856278	2
-0.224302005054128	2	bio5 fold=5norm.weight=-0.224302005054128	2
-0.0777129332503537	2	bio5 fold=6norm.weight=-0.0777129332503537	2
-0.194396924007747	2	bio5 fold=7norm.weight=-0.194396924007747	2
-0.140597928908014	2	bio5 fold=8norm.weight=-0.140597928908014	2
-0.214224538588051	2	bio5 fold=9norm.weight=-0.214224538588051	2
-0.120470494740712	2	bio5 fold=10norm.weight=-0.120470494740712	2
0	3	bio4 fold=1norm.weight=0	2
-0.427264158972009	3	bio4 fold=2norm.weight=-0.427264158972009	2
-0.560557636490966	3	bio4 fold=3norm.weight=-0.560557636490966	2
-0.501337247835139	3	bio4 fold=4norm.weight=-0.501337247835139	2
-0.378797719011205	3	bio4 fold=5norm.weight=-0.378797719011205	2
-0.390741031301179	3	bio4 fold=6norm.weight=-0.390741031301179	2
-0.601507138989381	3	bio4 fold=7norm.weight=-0.60150713898938	2
-0.882924246820241	3	bio4 fold=8norm.weight=-0.882924246820241	2
-0.667010207471955	3	bio4 fold=9norm.weight=-0.667010207471955	2
-0.540339051005826	3	bio4 fold=10norm.weight=-0.540339051005826	2
0	1	hmod fold=1norm.weight=0	3
-0.0378943959822504	1	hmod fold=2norm.weight=-0.0378943959822504	3
-0.0491978425324235	1	hmod fold=3norm.weight=-0.0491978425324235	3
-0.00238236834402643	1	hmod fold=4norm.weight=-0.00238236834402643	3
-0.0172895465667734	1	hmod fold=5norm.weight=-0.0172895465667734	3
-0.0469801604142689	1	hmod fold=6norm.weight=-0.0469801604142688	3
-0.0733172300952511	1	hmod fold=7norm.weight=-0.0733172300952511	3
-0.0560815573302963	1	hmod fold=8norm.weight=-0.0560815573302962	3
0	1	hmod fold=9norm.weight=0	3
-0.122735304723158	1	hmod fold=10norm.weight=-0.122735304723157	3
0.103786962805564	1	bio3 fold=1norm.weight=0.103786962805564	4
0.0745194217993853	1	bio3 fold=2norm.weight=0.0745194217993853	4
0	1	bio3 fold=3norm.weight=0	4
0	1	bio3 fold=4norm.weight=0	4
0.0586024344089094	1	bio3 fold=5norm.weight=0.0586024344089094	4
0	1	bio3 fold=6norm.weight=0	4
0	1	bio3 fold=7norm.weight=0	4
0	1	bio3 fold=8norm.weight=0	4
0	1	bio3 fold=9norm.weight=0	4
0	1	bio3 fold=10norm.weight=0	4
-0.0877672718165617	1	bdepth fold=1norm.weight=-0.0877672718165617	5
0	1	bdepth fold=2norm.weight=0	5
0	1	bdepth fold=3norm.weight=0	5
-0.0159840354020865	1	bdepth fold=4norm.weight=-0.0159840354020865	5
0	1	bdepth fold=5norm.weight=0	5
0	1	bdepth fold=6norm.weight=0	5
0	1	bdepth fold=7norm.weight=0	5
0	1	bdepth fold=8norm.weight=0	5
0	1	bdepth fold=9norm.weight=0	5
0	1	bdepth fold=10norm.weight=0	5
-0.00600454049032597	1	srad fold=1norm.weight=-0.00600454049032597	6
0	1	srad fold=2norm.weight=0	6
0	1	srad fold=3norm.weight=0	6
0	1	srad fold=4norm.weight=0	6
0	1	srad fold=5norm.weight=0	6
0	1	srad fold=6norm.weight=0	6
0	1	srad fold=7norm.weight=0	6
0	1	srad fold=8norm.weight=0	6
0	1	srad fold=9norm.weight=0	6
0	1	srad fold=10norm.weight=0	6
0.0309089747388782	2	bio8 fold=1norm.weight=0.0309089747388782	6
0	2	bio8 fold=2norm.weight=0	6
0	2	bio8 fold=3norm.weight=0	6
0	2	bio8 fold=4norm.weight=0	6
0	2	bio8 fold=5norm.weight=0	6
0	2	bio8 fold=6norm.weight=0	6
0	2	bio8 fold=7norm.weight=0	6
