colour	x	y	PANEL
#BEBEBE	0.0740740740740741	1	1
#BEBEBE	0.962962962962963	4	1
#BEBEBE	0.222222222222222	3	1
#BEBEBE	0.0740740740740741	2	1
#BEBEBE	0.08	1	1
#BEBEBE	0.96	4	1
#BEBEBE	0.24	3	1
#BEBEBE	0.08	2	1
#BEBEBE	0.0689655172413793	1	1
#BEBEBE	0.96551724137931	4	1
#BEBEBE	0.172413793103448	3	1
#BEBEBE	0.0689655172413793	2	1
#BEBEBE	0.1	1	1
#BEBEBE	0.95	4	1
#BEBEBE	0.25	3	1
#BEBEBE	0.1	2	1
#BEBEBE	0.0869565217391305	1	1
#BEBEBE	0.956521739130435	4	1
#BEBEBE	0.173913043478261	3	1
#BEBEBE	0.0869565217391305	2	1
#BEBEBE	0.0833333333333334	1	1
#BEBEBE	0.958333333333333	4	1
#BEBEBE	0.208333333333333	3	1
#BEBEBE	0.0833333333333334	2	1
#BEBEBE	0.111111111111111	1	1
#BEBEBE	0.944444444444444	4	1
#BEBEBE	0.277777777777778	3	1
#BEBEBE	0.111111111111111	2	1
#BEBEBE	0.0714285714285714	1	1
#BEBEBE	0.964285714285714	4	1
#BEBEBE	0.178571428571429	3	1
#BEBEBE	0.0714285714285714	2	1
#BEBEBE	0.0666666666666667	1	1
#BEBEBE	0.966666666666667	4	1
#BEBEBE	0.166666666666667	3	1
#BEBEBE	0.0666666666666667	2	1
#BEBEBE	0.0952380952380952	1	1
#BEBEBE	0.952380952380952	4	1
#BEBEBE	0.142857142857143	3	1
#BEBEBE	0.0952380952380952	2	1
#BEBEBE	0.0740740740740741	1	2
#BEBEBE	0	2	2
#BEBEBE	0.08	1	2
#BEBEBE	0.08	2	2
#BEBEBE	0	1	2
#BEBEBE	0.103448275862069	2	2
#BEBEBE	0.1	1	2
#BEBEBE	0.1	2	2
#BEBEBE	0.0869565217391305	1	2
#BEBEBE	0.0869565217391305	2	2
#BEBEBE	0.0833333333333334	1	2
#BEBEBE	0.166666666666667	2	2
#BEBEBE	0.111111111111111	1	2
#BEBEBE	0.111111111111111	2	2
#BEBEBE	0.0714285714285714	1	2
#BEBEBE	0.0714285714285714	2	2
#BEBEBE	0.0666666666666667	1	2
#BEBEBE	0.0666666666666667	2	2
#BEBEBE	0.0952380952380952	1	2
#BEBEBE	0.142857142857143	2	2
#BEBEBE	0	1	3
#BEBEBE	0.08	1	3
#BEBEBE	0.137931034482759	1	3
#BEBEBE	0.1	1	3
#BEBEBE	0.0869565217391305	1	3
#BEBEBE	0	1	3
#BEBEBE	0.111111111111111	1	3
#BEBEBE	0.0714285714285714	1	3
#BEBEBE	0.0666666666666667	1	3
#BEBEBE	0	1	3
#BEBEBE	0.0740740740740741	1	4
#BEBEBE	0.08	1	4
#BEBEBE	0.0689655172413793	1	4
#BEBEBE	0	1	4
#BEBEBE	0.0869565217391305	1	4
#BEBEBE	0	1	4
#BEBEBE	0	1	4
#BEBEBE	0.0714285714285714	1	4
#BEBEBE	0.0666666666666667	1	4
#BEBEBE	0	1	4
#BEBEBE	0	1	5
#BEBEBE	0.0740740740740741	2	5
#BEBEBE	0.0740740740740741	3	5
#BEBEBE	0.08	1	5
#BEBEBE	0.08	2	5
#BEBEBE	0	3	5
#BEBEBE	0.0689655172413793	1	5
#BEBEBE	0.0689655172413793	2	5
#BEBEBE	0	3	5
#BEBEBE	0	1	5
#BEBEBE	0	2	5
#BEBEBE	0.1	3	5
#BEBEBE	0	1	5
#BEBEBE	0.0869565217391305	2	5
#BEBEBE	0	3	5
#BEBEBE	0.0833333333333334	1	5
#BEBEBE	0	2	5
#BEBEBE	0.0833333333333334	3	5
#BEBEBE	0	1	5
#BEBEBE	0	2	5
#BEBEBE	0	3	5
#BEBEBE	0.0714285714285714	1	5
#BEBEBE	0.0714285714285714	2	5
#BEBEBE	0	3	5
#BEBEBE	0.0666666666666667	1	5
#BEBEBE	0	2	5
#BEBEBE	0.0666666666666667	3	5
#BEBEBE	0	1	5
#BEBEBE	0	2	5
#BEBEBE	0.0952380952380952	3	5
#BEBEBE	0.0740740740740741	1	6
#BEBEBE	0	1	6
#BEBEBE	0.0689655172413793	1	6
#BEBEBE	0	1	6
#BEBEBE	0	1	6
#BEBEBE	0	1	6
#BEBEBE	0	1	6
#BEBEBE	0.0714285714285714	1	6
#BEBEBE	0	1	6
#BEBEBE	0	1	6
#BEBEBE	0	3	7
#BEBEBE	0.0740740740740741	2	7
#BEBEBE	0	1	7
#BEBEBE	0	3	7
#BEBEBE	0	2	7
#BEBEBE	0	1	7
#BEBEBE	0	3	7
#BEBEBE	0	2	7
#BEBEBE	0.0689655172413793	1	7
#BEBEBE	0	3	7
#BEBEBE	0	2	7
#BEBEBE	0	1	7
#BEBEBE	0	3	7
#BEBEBE	0	2	7
#BEBEBE	0	1	7
#BEBEBE	0.0833333333333334	3	7
#BEBEBE	0	2	7
#BEBEBE	0	1	7
#BEBEBE	0	3	7
#BEBEBE	0	2	7
#BEBEBE	0	1	7
#BEBEBE	0	3	7
#BEBEBE	0	2	7
#BEBEBE	0.0714285714285714	1	7
#BEBEBE	0.0666666666666667	3	7
#BEBEBE	0.0666666666666667	2	7
#BEBEBE	0	1	7
#BEBEBE	0	3	7
#BEBEBE	0	2	7
#BEBEBE	0	1	7
#BEBEBE	0	1	8
#BEBEBE	0	3	8
#BEBEBE	0.0740740740740741	2	8
#BEBEBE	0	4	8
#BEBEBE	0	5	8
#BEBEBE	0	1	8
#BEBEBE	0	3	8
#BEBEBE	0	2	8
#BEBEBE	0	4	8
#BEBEBE	0	5	8
#BEBEBE	0	1	8
#BEBEBE	0	3	8
#BEBEBE	0	2	8
#BEBEBE	0	4	8
#BEBEBE	0	5	8
#BEBEBE	0	1	8
#BEBEBE	0	3	8
#BEBEBE	0	2	8
#BEBEBE	0	4	8
#BEBEBE	0	5	8
#BEBEBE	0	1	8
#BEBEBE	0.0869565217391305	3	8
#BEBEBE	0	2	8
#BEBEBE	0	4	8
#BEBEBE	0	5	8
#BEBEBE	0	1	8
#BEBEBE	0	3	8
#BEBEBE	0	2	8
#BEBEBE	0	4	8
#BEBEBE	0	5	8
#BEBEBE	0	1	8
#BEBEBE	0	3	8
#BEBEBE	0	2	8
#BEBEBE	0	4	8
#BEBEBE	0	5	8
#BEBEBE	0	1	8
#BEBEBE	0	3	8
#BEBEBE	0	2	8
#BEBEBE	0	4	8
#BEBEBE	0	5	8
#BEBEBE	0.0666666666666667	1	8
#BEBEBE	0	3	8
#BEBEBE	0	2	8
#BEBEBE	0	4	8
#BEBEBE	0	5	8
#BEBEBE	0	1	8
#BEBEBE	0	3	8
#BEBEBE	0	2	8
#BEBEBE	0.0952380952380952	4	8
#BEBEBE	0.0952380952380952	5	8
#BEBEBE	0	1	9
#BEBEBE	0	2	9
#BEBEBE	0	3	9
#BEBEBE	0	4	9
#BEBEBE	0	5	9
#BEBEBE	0	6	9
#BEBEBE	0	7	9
#BEBEBE	0	8	9
#BEBEBE	0	9	9
#BEBEBE	0	10	9
#BEBEBE	0	11	9
#BEBEBE	0	1	9
#BEBEBE	0	2	9
#BEBEBE	0	3	9
#BEBEBE	0	4	9
#BEBEBE	0	5	9
#BEBEBE	0	6	9
#BEBEBE	0	7	9
#BEBEBE	0	8	9
#BEBEBE	0	9	9
#BEBEBE	0	10	9
#BEBEBE	0	11	9
#BEBEBE	0	1	9
#BEBEBE	0	2	9
#BEBEBE	0	3	9
#BEBEBE	0	4	9
#BEBEBE	0	5	9
#BEBEBE	0	6	9
#BEBEBE	0	7	9
#BEBEBE	0	8	9
#BEBEBE	0	9	9
#BEBEBE	0	10	9
#BEBEBE	0	11	9
#BEBEBE	0	1	9
#BEBEBE	0	2	9
#BEBEBE	0	3	9
#BEBEBE	0	4	9
#BEBEBE	0	5	9
#BEBEBE	0	6	9
#BEBEBE	0	7	9
#BEBEBE	0	8	9
#BEBEBE	0	9	9
#BEBEBE	0	10	9
#BEBEBE	0	11	9
#BEBEBE	0	1	9
#BEBEBE	0	2	9
#BEBEBE	0	3	9
#BEBEBE	0	4	9
#BEBEBE	0	5	9
#BEBEBE	0	6	9
#BEBEBE	0	7	9
#BEBEBE	0	8	9
#BEBEBE	0	9	9
#BEBEBE	0	10	9
#BEBEBE	0	11	9
#BEBEBE	0	1	9
#BEBEBE	0	2	9
#BEBEBE	0	3	9
#BEBEBE	0	4	9
#BEBEBE	0	5	9
#BEBEBE	0	6	9
#BEBEBE	0	7	9
#BEBEBE	0	8	9
#BEBEBE	0	9	9
#BEBEBE	0	10	9
#BEBEBE	0	11	9
#BEBEBE	0	1	9
#BEBEBE	0	2	9
#BEBEBE	0	3	9
#BEBEBE	0	4	9
#BEBEBE	0	5	9
#BEBEBE	0	6	9
#BEBEBE	0	7	9
#BEBEBE	0	8	9
#BEBEBE	0	9	9
#BEBEBE	0	10	9
#BEBEBE	0	11	9
#BEBEBE	0	1	9
#BEBEBE	0	2	9
#BEBEBE	0	3	9
#BEBEBE	0	4	9
#BEBEBE	0	5	9
#BEBEBE	0	6	9
#BEBEBE	0	7	9
#BEBEBE	0	8	9
#BEBEBE	0	9	9
#BEBEBE	0	10	9
#BEBEBE	0	11	9
#BEBEBE	0	1	9
#BEBEBE	0	2	9
#BEBEBE	0	3	9
#BEBEBE	0	4	9
#BEBEBE	0	5	9
#BEBEBE	0	6	9
#BEBEBE	0	7	9
#BEBEBE	0	8	9
#BEBEBE	0	9	9
#BEBEBE	0	10	9
#BEBEBE	0	11	9
#BEBEBE	0	1	9
#BEBEBE	0	2	9
#BEBEBE	0	3	9
#BEBEBE	0	4	9
#BEBEBE	0	5	9
#BEBEBE	0	6	9
#BEBEBE	0	7	9
#BEBEBE	0	8	9
#BEBEBE	0	9	9
#BEBEBE	0	10	9
#BEBEBE	0	11	9
