fill	x	y	showSelectedlegendcolourfill	showSelected1
#FC8D62	0	0	glmnet	one
#E78AC3	0.000121921482565228	0.000544959128065395	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.000121921482565228	0.000544959128065395	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0	0	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.000851892418157478	0.00054945054945055	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0	0	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.000241954996370675	0	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0.000244887963756581	0	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0	0.000535045478865704	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0.000364874726343955	0	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.000364874726343955	0	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0	0.000538213132400431	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.00012227928588897	0	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0	0	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.000121995852141027	0	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0.000120656370656371	0	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.000120656370656371	0	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0.000244021473889702	0	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0	0.000543478260869565	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0.000364121859448962	0	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.000364121859448962	0.000556483027267668	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0.000121921482565228	0.000544959128065395	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.000121921482565228	0.000544959128065395	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0	0	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.000851892418157478	0.00054945054945055	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0	0	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.000241954996370675	0	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0.000244887963756581	0	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0	0.000535045478865704	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0.000364874726343955	0	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.000364874726343955	0	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0	0.000538213132400431	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.00012227928588897	0	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0	0	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.000121995852141027	0	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0.000120656370656371	0	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.000120656370656371	0	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0.000244021473889702	0	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0	0.000543478260869565	earth	one
#FC8D62	0	0	glmnet	one
#E78AC3	0.000364121859448962	0	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.000364121859448962	0.000556483027267668	earth	one
