fill	x	y	showSelectedlegendcolourfill	showSelected1
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00243842965130456	0.00490463215258856	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00340756967262991	0.0032967032967033	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00266150496007743	0.00225988700564972	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00342843149259214	0.00321027287319422	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00304062271953296	0.00385887541345094	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00232330643189044	0.00161463939720129	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00243991704282054	0.00435019032082654	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00217181467181467	0.0034324942791762	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00268423621278673	0.00326086956521739	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00242747906299308	0.00166944908180301	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00243842965130456	0.00490463215258856	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00340756967262991	0.0032967032967033	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00266150496007743	0.00225988700564972	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00342843149259214	0.00321027287319422	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00304062271953296	0.00385887541345094	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00232330643189044	0.00161463939720129	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00243991704282054	0.00435019032082654	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00217181467181467	0.0034324942791762	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00268423621278673	0.00326086956521739	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0	0	glmnet	balanced
#E78AC3	0.00242747906299308	0.00166944908180301	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
