x	y	tooltip	PANEL
-0.102234643279411	1	hmod fold=1norm.weight=-0.102234643279411	1
-0.0244778967066085	1	hmod fold=2norm.weight=-0.0244778967066085	1
-0.0764358615103765	1	hmod fold=3norm.weight=-0.0764358615103765	1
-0.00238236834402643	1	hmod fold=4norm.weight=-0.00238236834402643	1
-0.0436710911120135	1	hmod fold=5norm.weight=-0.0436710911120135	1
-0.0894998305425157	1	hmod fold=6norm.weight=-0.0894998305425157	1
-0.026651645320694	1	hmod fold=7norm.weight=-0.026651645320694	1
-0.0154511381738225	1	hmod fold=8norm.weight=-0.0154511381738225	1
-0.00322602720004983	1	hmod fold=9norm.weight=-0.00322602720004983	1
-0.0583294427586196	1	hmod fold=10norm.weight=-0.0583294427586196	1
-0.0154496226465106	2	bio5 fold=1norm.weight=-0.0154496226465106	1
-0.0893034270293216	2	bio5 fold=2norm.weight=-0.0893034270293216	1
-0.125824127342983	2	bio5 fold=3norm.weight=-0.125824127342983	1
-0.136632468856278	2	bio5 fold=4norm.weight=-0.136632468856278	1
-0.231427733681848	2	bio5 fold=5norm.weight=-0.231427733681848	1
-0.107454545263805	2	bio5 fold=6norm.weight=-0.107454545263805	1
-0.166655666765216	2	bio5 fold=7norm.weight=-0.166655666765216	1
-0.118926375282386	2	bio5 fold=8norm.weight=-0.118926375282386	1
-0.226745022120773	2	bio5 fold=9norm.weight=-0.226745022120773	1
-0.082789841718948	2	bio5 fold=10norm.weight=-0.082789841718948	1
-0.0745640404101187	3	silt fold=1norm.weight=-0.0745640404101187	1
-0.20587999955333	3	silt fold=2norm.weight=-0.20587999955333	1
-0.148231813175401	3	silt fold=3norm.weight=-0.148231813175401	1
-0.135899813175332	3	silt fold=4norm.weight=-0.135899813175332	1
-0.212018286932839	3	silt fold=5norm.weight=-0.212018286932839	1
-0.157530929816106	3	silt fold=6norm.weight=-0.157530929816106	1
-0.0450305593623249	3	silt fold=7norm.weight=-0.0450305593623249	1
-0.095367851013241	3	silt fold=8norm.weight=-0.095367851013241	1
-0.120591382464114	3	silt fold=9norm.weight=-0.120591382464114	1
-0.115562137159825	3	silt fold=10norm.weight=-0.115562137159825	1
-0.644695758833796	4	bio15 fold=1norm.weight=-0.644695758833796	1
-0.587121200522326	4	bio15 fold=2norm.weight=-0.587121200522326	1
-0.546313887890355	4	bio15 fold=3norm.weight=-0.546313887890355	1
-0.306661159932425	4	bio15 fold=4norm.weight=-0.306661159932425	1
-0.544342273185602	4	bio15 fold=5norm.weight=-0.544342273185602	1
-0.548215429163804	4	bio15 fold=6norm.weight=-0.548215429163804	1
-0.252940688882567	4	bio15 fold=7norm.weight=-0.252940688882567	1
-0.34332482781009	4	bio15 fold=8norm.weight=-0.34332482781009	1
-0.342373064227132	4	bio15 fold=9norm.weight=-0.342373064227132	1
-0.298691549097651	4	bio15 fold=10norm.weight=-0.298691549097651	1
-0.500294350983263	5	bio4 fold=1norm.weight=-0.500294350983263	1
-0.360441508545481	5	bio4 fold=2norm.weight=-0.360441508545481	1
-0.753867434760521	5	bio4 fold=3norm.weight=-0.753867434760521	1
-0.501337247835139	5	bio4 fold=4norm.weight=-0.501337247835139	1
-0.526510442745894	5	bio4 fold=5norm.weight=-0.526510442745894	1
-0.689031228940095	5	bio4 fold=6norm.weight=-0.689031228940095	1
-0.279311669146385	5	bio4 fold=7norm.weight=-0.279311669146385	1
-0.584717753596343	5	bio4 fold=8norm.weight=-0.584717753596343	1
-0.782174199306573	5	bio4 fold=9norm.weight=-0.782174199306573	1
-0.116309189603972	5	bio4 fold=10norm.weight=-0.116309189603972	1
-0.584280346775044	6	ph fold=1norm.weight=-0.584280346775044	1
-0.475711060419116	6	ph fold=2norm.weight=-0.475711060419116	1
-0.583847069138084	6	ph fold=3norm.weight=-0.583847069138084	1
-0.565817273760982	6	ph fold=4norm.weight=-0.565817273760982	1
-0.497383882561635	6	ph fold=5norm.weight=-0.497383882561635	1
-0.597787978661173	6	ph fold=6norm.weight=-0.597787978661173	1
-0.528943792044081	6	ph fold=7norm.weight=-0.528943792044081	1
-0.569697267999803	6	ph fold=8norm.weight=-0.569697267999802	1
-0.558072023089306	6	ph fold=9norm.weight=-0.558072023089305	1
-0.519939216923122	6	ph fold=10norm.weight=-0.519939216923122	1
-0.696002085044714	7	bio9 fold=1norm.weight=-0.696002085044714	1
-0.641961125512512	7	bio9 fold=2norm.weight=-0.641961125512511	1
-0.719865875382892	7	bio9 fold=3norm.weight=-0.719865875382892	1
-0.526319022916969	7	bio9 fold=4norm.weight=-0.526319022916969	1
-0.610563346887993	7	bio9 fold=5norm.weight=-0.610563346887993	1
-0.7070257485003	7	bio9 fold=6norm.weight=-0.7070257485003	1
-0.430229000607737	7	bio9 fold=7norm.weight=-0.430229000607737	1
-0.529519634472105	7	bio9 fold=8norm.weight=-0.529519634472105	1
-0.523222908588746	7	bio9 fold=9norm.weight=-0.523222908588746	1
-0.461316414258126	7	bio9 fold=10norm.weight=-0.461316414258126	1
-0.802420542598873	8	bio7 fold=1norm.weight=-0.802420542598873	1
-0.91124029547653	8	bio7 fold=2norm.weight=-0.91124029547653	1
-0.745068764868286	8	bio7 fold=3norm.weight=-0.745068764868286	1
-0.579668214804819	8	bio7 fold=4norm.weight=-0.579668214804819	1
-0.818264092124447	8	bio7 fold=5norm.weight=-0.818264092124447	1
-0.673699579921651	8	bio7 fold=6norm.weight=-0.673699579921651	1
-0.82386806253776	8	bio7 fold=7norm.weight=-0.82386806253776	1
-0.575782424757378	8	bio7 fold=8norm.weight=-0.575782424757378	1
-0.499874781567294	8	bio7 fold=9norm.weight=-0.499874781567293	1
-0.865379009228653	8	bio7 fold=10norm.weight=-0.865379009228653	1
0.838317980218124	9	bdens fold=1norm.weight=0.838317980218124	1
0.786104836878732	9	bdens fold=2norm.weight=0.786104836878732	1
0.733120409392658	9	bdens fold=3norm.weight=0.733120409392658	1
0.779140974199923	9	bdens fold=4norm.weight=0.779140974199923	1
0.762727331344934	9	bdens fold=5norm.weight=0.762727331344934	1
0.742164805300393	9	bdens fold=6norm.weight=0.742164805300393	1
0.821007783670612	9	bdens fold=7norm.weight=0.821007783670612	1
0.779883584267971	9	bdens fold=8norm.weight=0.779883584267971	1
0.770732800271647	9	bdens fold=9norm.weight=0.770732800271647	1
0.797092164957018	9	bdens fold=10norm.weight=0.797092164957018	1
-0.946259327906665	10	bio13 fold=1norm.weight=-0.946259327906665	1
-0.98447646046397	10	bio13 fold=2norm.weight=-0.98447646046397	1
-0.973191089624384	10	bio13 fold=3norm.weight=-0.973191089624384	1
-0.81939200086906	10	bio13 fold=4norm.weight=-0.81939200086906	1
-0.951995729561131	10	bio13 fold=5norm.weight=-0.951995729561132	1
-1.01539238835086	10	bio13 fold=6norm.weight=-1.01539238835086	1
-0.796167450446866	10	bio13 fold=7norm.weight=-0.796167450446866	1
-0.83031773321076	10	bio13 fold=8norm.weight=-0.83031773321076	1
-0.868528471654387	10	bio13 fold=9norm.weight=-0.868528471654387	1
-0.796664530391838	10	bio13 fold=10norm.weight=-0.796664530391838	1
-1.91104808737892	11	twi fold=1norm.weight=-1.91104808737892	1
-2.08711373065075	11	twi fold=2norm.weight=-2.08711373065075	1
-2.16799504071939	11	twi fold=3norm.weight=-2.16799504071939	1
-2.10682055987274	11	twi fold=4norm.weight=-2.10682055987274	1
-2.14904325505136	11	twi fold=5norm.weight=-2.14904325505136	1
-2.24011156258005	11	twi fold=6norm.weight=-2.24011156258005	1
-1.98509150818797	11	twi fold=7norm.weight=-1.98509150818797	1
-2.0227853280734	11	twi fold=8norm.weight=-2.0227853280734	1
-2.2105360821669	11	twi fold=9norm.weight=-2.2105360821669	1
-2.04483850521843	11	twi fold=10norm.weight=-2.04483850521843	1
-0.15123577853988	1	srad fold=1norm.weight=-0.15123577853988	2
0	1	srad fold=2norm.weight=0	2
-0.0217656251548261	1	srad fold=3norm.weight=-0.0217656251548261	2
0	1	srad fold=4norm.weight=0	2
-0.0356190893321421	1	srad fold=5norm.weight=-0.0356190893321421	2
0	1	srad fold=6norm.weight=0	2
0	1	srad fold=7norm.weight=0	2
0	1	srad fold=8norm.weight=0	2
0	1	srad fold=9norm.weight=0	2
0	1	srad fold=10norm.weight=0	2
0.208290134099501	2	bio3 fold=1norm.weight=0.208290134099501	2
0.0578014717693817	2	bio3 fold=2norm.weight=0.0578014717693817	2
0	2	bio3 fold=3norm.weight=0	2
0	2	bio3 fold=4norm.weight=0	2
0.0830706785305813	2	bio3 fold=5norm.weight=0.0830706785305813	2
0	2	bio3 fold=6norm.weight=0	2
0	2	bio3 fold=7norm.weight=0	2
0	2	bio3 fold=8norm.weight=0	2
0	2	bio3 fold=9norm.weight=0	2
0	2	bio3 fold=10norm.weight=0	2
0	1	bdepth fold=1norm.weight=0	3
0	1	bdepth fold=2norm.weight=0	3
0	1	bdepth fold=3norm.weight=0	3
-0.0159840354020865	1	bdepth fold=4norm.weight=-0.0159840354020865	3
0	1	bdepth fold=5norm.weight=0	3
0	1	bdepth fold=6norm.weight=0	3
0	1	bdepth fold=7norm.weight=0	3
0	1	bdepth fold=8norm.weight=0	3
0	1	bdepth fold=9norm.weight=0	3
-0.0167675897717456	1	bdepth fold=10norm.weight=-0.0167675897717456	3
0.0829245947063055	1	bio8 fold=1norm.weight=0.0829245947063055	4
0	1	bio8 fold=2norm.weight=0	4
0	1	bio8 fold=3norm.weight=0	4
0	1	bio8 fold=4norm.weight=0	4
0	1	bio8 fold=5norm.weight=0	4
0	1	bio8 fold=6norm.weight=0	4
0	1	bio8 fold=7norm.weight=0	4
0	1	bio8 fold=8norm.weight=0	4
0	1	bio8 fold=9norm.weight=0	4
0	1	bio8 fold=10norm.weight=0	4
-0.0919692106564136	2	bio16 fold=1norm.weight=-0.0919692106564136	4
0	2	bio16 fold=2norm.weight=0	4
0	2	bio16 fold=3norm.weight=0	4
0	2	bio16 fold=4norm.weight=0	4
0	2	bio16 fold=5norm.weight=0	4
0	2	bio16 fold=6norm.weight=0	4
0	2	bio16 fold=7norm.weight=0	4
0	2	bio16 fold=8norm.weight=0	4
0	2	bio16 fold=9norm.weight=0	4
0	2	bio16 fold=10norm.weight=0	4
-0.191136021668555	3	awc150 fold=1norm.weight=-0.191136021668555	4
0	3	awc150 fold=2norm.weight=0	4
0	3	awc150 fold=3norm.weight=0	4
0	3	awc150 fold=4norm.weight=0	4
0	3	awc150 fold=5norm.weight=0	4
0	3	awc150 fold=6norm.weight=0	4
0	3	awc150 fold=7norm.weight=0	4
0	3	awc150 fold=8norm.weight=0	4
0	3	awc150 fold=9norm.weight=0	4
0	3	awc150 fold=10norm.weight=0	4
0	1	bio1 fold=1norm.weight=0	5
0	1	bio1 fold=2norm.weight=0	5
0	1	bio1 fold=3norm.weight=0	5
0	1	bio1 fold=4norm.weight=0	5
0	1	bio1 fold=5norm.weight=0	5
0	1	bio1 fold=6norm.weight=0	5
0	1	bio1 fold=7norm.weight=0	5
0	1	bio1 fold=8norm.weight=0	5
0	1	bio1 fold=9norm.weight=0	5
0	1	bio1 fold=10norm.weight=0	5
0	2	bio2 fold=1norm.weight=0	5
0	2	bio2 fold=2norm.weight=0	5
0	2	bio2 fold=3norm.weight=0	5
0	2	bio2 fold=4norm.weight=0	5
0	2	bio2 fold=5norm.weight=0	5
0	2	bio2 fold=6norm.weight=0	5
0	2	bio2 fold=7norm.weight=0	5
0	2	bio2 fold=8norm.weight=0	5
0	2	bio2 fold=9norm.weight=0	5
0	2	bio2 fold=10norm.weight=0	5
0	3	bio6 fold=1norm.weight=0	5
0	3	bio6 fold=2norm.weight=0	5
0	3	bio6 fold=3norm.weight=0	5
0	3	bio6 fold=4norm.weight=0	5
0	3	bio6 fold=5norm.weight=0	5
0	3	bio6 fold=6norm.weight=0	5
0	3	bio6 fold=7norm.weight=0	5
0	3	bio6 fold=8norm.weight=0	5
0	3	bio6 fold=9norm.weight=0	5
0	3	bio6 fold=10norm.weight=0	5
0	4	bio10 fold=1norm.weight=0	5
